old_n,z,x,y,
68,,,,
69,1435,161,390,
70,1350,409,243,
89,1262,333,243,
90,1636,301,403,
92,,,,
93,1485,426,159,
97,1436,269,172,
488,1497,388,358,
489,1400,246,271,
491,1767,277,261,
96,1600,326,189,
98,1549,141,403,
99,1716,289,280,
226,1719,163,334,
227,1603,162,184,
228,1734,406,235,
229,1589,315,250,
230,1524,239,211,
251,1778,305,360,
260,1760,351,190,
261,1750,346,280,
262,1782,334,261,
310,,,,
311,1277,295,219,
312,1566,495,419,
313,1619,324,390,
390,1635,184,313,
391,1714,432,285,
392,1725,370,327,
393,1618,302,261,
